year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cc130891,ca,4,44039,white,beige,nissan-infiniti lt,11750,12900
2012,Ford,Edge,Sport,SUV,automatic,2fmdk3akxcba04245,ca,4,43860,black,black,ford motor credit company llc pd,22700,21900
2012,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac3ch290449,ca,4,42665,blue,gray,hyundai motor america/co car,10800,11600
2012,Chevrolet,Traverse,LS,SUV,automatic,1gnkveed2cj170787,ca,4,41873,white,gray,merchants automotive group,16600,18200
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap1bc835218,ca,4,40994,black,black,nissan-infiniti lt,16300,17750
2012,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac8ch421391,ca,4,40065,silver,gray,hyundai motor finance,10950,11900
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap0dc283888,ca,4,39159,silver,black,enterprise vehicle exchange/orange,12800,13500
2013,Toyota,Venza,LE,Wagon,automatic,4t3za3bb5du071636,ca,4,38759,white,beige,avis corporation,17250,17500
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap8dc187703,ca,4,38666,silver,black,avis rac/san leandro,12850,13300
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap8dn508594,ca,4,37182,gray,black,avis corporation,12900,13300
2011,Nissan,Altima,2.5,Sedan,automatic,1n4al2ap0bn494066,ca,4,37078,black,black,nissan-infiniti lt,11350,11800
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap5dc205039,ca,4,37020,red,black,enterprise vehicle exchange/orange,13400,13600
2013,Kia,Rio,LX,Sedan,automatic,knadm4a36d6256603,ca,4,36667,black,beige,avis rac/san leandro,9375,9800
2012,Toyota,Prius,Three,Hatchback,automatic,jtdkn3du4c1536019,ca,4,36550,turquoise,gray,toyota financial services,15800,16300
2013,Nissan,Cube,1.8 SL,Wagon,automatic,jn8az2kr6dt300653,ca,4,36297,silver,black,jpmorgan chase bank n.a.,11500,12300
2012,BMW,3 Series,328i,Coupe,automatic,wbake3c53ce769664,ca,4,36013,black,black,financial services remarketing (lease),21900,21000
2011,BMW,3 Series,328i,Sedan,automatic,wbaph7c50be852696,ca,4,35905,white,black,financial services remarketing (lease),19250,20250
2012,Mercedes-Benz,E-Class,E350 Luxury,Sedan,automatic,wddhf5kb8ca568532,ca,4,34837,black,black,mercedes-benz financial services,28000,27500
2011,Hyundai,Santa Fe,SE,SUV,automatic,5xyzh4ag6bg087225,ca,4,34104,blue,black,hyundai buybacks,14550,12400
2010,Dodge,Charger,3.5L,Sedan,automatic,2b3ca2cv7ah300114,ca,4,34060,black,gray,bmw alphera/alphera financial services,11650,12100
